id,expected_skill,invocation,prompt
trigger-01,prose,natural,"Rewrite this PR description so reviewers can scan the wording."
trigger-02,prose,natural,"Tighten this incident update without losing uncertainty."
trigger-03,none,natural,"Why does this Scala Future deadlock?"
trigger-04,none,natural,"Explain eventual consistency in two paragraphs."
trigger-05,compress,slash,"/prose:compress Reduce this RFC to 250 words."
trigger-06,compress,natural,"Make this the shortest complete version."
trigger-07,laconic,slash,"/prose:laconic Rewrite this status update."
trigger-08,prose,natural,"Proofread this email to the platform team."
trigger-09,none,natural,"Refactor this function to remove allocation."
trigger-10,compress,natural,"Aggressively deduplicate this document while preserving every decision and risk."
trigger-11,laconic,natural,"Rewrite this announcement in a terse, clipped register."
trigger-12,none,natural,"Review this RFC for rollback safety and architecture risks."
trigger-13,prose,natural,"Review the wording and readability of this RFC."
trigger-14,none,natural,"Perform a security review of this design document."
